time, AIRS3STD_7_0_H2O_MMR_A
2022-02-26,2.22070312
2022-02-27,-9999.0
2022-02-28,-9999.0
2022-03-01,-9999.0
2022-03-02,2.68164062
2022-03-03,1.96875
2022-03-04,2.71484375
2022-03-05,-9999.0
2022-03-06,-9999.0
2022-03-07,-9999.0
2022-03-08,2.56835938
2022-03-09,-9999.0
2022-03-10,3.16210938
2022-03-11,3.25976562
2022-03-12,-9999.0
2022-03-13,2.24023438
2022-03-14,4.359375
2022-03-15,-9999.0
2022-03-16,5.4921875
2022-03-17,6.96484375
2022-03-18,6.00390625
2022-03-19,-9999.0
2022-03-20,-9999.0
2022-03-21,-9999.0
2022-03-22,2.828125
2022-03-23,-9999.0
2022-03-24,-9999.0
2022-03-25,-9999.0
2022-03-26,-9999.0
2022-03-27,-9999.0
2022-03-28,1.73535156
2022-03-29,2.56835938
2022-03-30,-9999.0
2022-03-31,-9999.0
2022-04-13,-9999.0
2022-04-14,-9999.0
2022-04-15,-9999.0
2022-04-16,3.92773438
2022-04-17,-9999.0
2022-04-18,-9999.0
2022-04-19,-9999.0
2022-04-20,3.63476562
2022-04-21,-9999.0
2022-04-22,-9999.0
2022-04-23,-9999.0
2022-04-24,-9999.0
2022-04-25,-9999.0
2022-04-26,-9999.0
2022-04-27,3.92578125
2022-04-28,2.7421875
2022-04-29,-9999.0
2022-04-30,-9999.0
2022-05-01,-9999.0
2022-05-02,-9999.0
2022-05-03,-9999.0
2022-05-04,-9999.0
2022-05-05,-9999.0
2022-05-06,-9999.0
2022-05-07,-9999.0
2022-05-08,4.08984375
2022-05-09,3.94726562
2022-05-10,-9999.0
2022-05-11,-9999.0
2022-05-12,-9999.0
2022-05-13,10.8046875
2022-05-14,14.7578125
2022-05-15,-9999.0
2022-05-16,-9999.0
2022-05-17,-9999.0
2022-05-18,4.76953125
2022-05-19,-9999.0
2022-05-20,-9999.0
2022-05-21,-9999.0
2022-05-22,-9999.0
2022-05-23,6.6953125
2022-05-24,-9999.0
2022-05-25,-9999.0
2022-05-26,-9999.0
2022-05-27,-9999.0
2022-05-28,-9999.0
2022-05-29,-9999.0
2022-05-30,-9999.0
2022-05-31,-9999.0
2022-06-01,-9999.0
2022-06-02,-9999.0
2022-06-03,-9999.0
2022-06-04,-9999.0
2022-06-05,-9999.0
2022-06-06,-9999.0
2022-06-07,-9999.0
2022-06-08,-9999.0
2022-06-09,-9999.0
2022-06-10,7.68359375
2022-06-11,8.65625
2022-06-12,-9999.0
2022-06-13,-9999.0
2022-06-14,11.3125
2022-06-15,-9999.0
2022-06-16,-9999.0
2022-06-17,-9999.0
2022-06-18,-9999.0
2022-06-19,-9999.0
2022-06-20,9.5703125
2022-06-21,-9999.0
2022-06-22,16.375
2022-06-23,-9999.0
2022-06-24,-9999.0
2022-06-25,10.40625
2022-06-26,-9999.0
2022-06-27,-9999.0
2022-06-28,9.421875
2022-06-29,-9999.0
2022-06-30,-9999.0
2022-07-01,-9999.0
2022-07-02,-9999.0
2022-07-03,9.3515625
2022-07-04,-9999.0
2022-07-05,-9999.0
2022-07-06,-9999.0
2022-07-07,11.15625
2022-07-08,-9999.0
2022-07-09,-9999.0
2022-07-10,9.75
2022-07-11,-9999.0
2022-07-12,-9999.0
2022-07-13,-9999.0
2022-07-14,9.96875
2022-07-15,-9999.0
2022-07-16,10.3203125
2022-07-17,13.390625
2022-07-18,-9999.0
2022-07-19,-9999.0
2022-07-20,-9999.0
2022-07-21,-9999.0
2022-07-22,13.6640625
2022-07-23,-9999.0
2022-07-24,-9999.0
2022-07-25,-9999.0
2022-07-26,10.9296875
2022-07-27,-9999.0
2022-07-28,-9999.0
2022-07-29,-9999.0
2022-07-30,-9999.0
2022-07-31,12.484375
2022-08-01,-9999.0
2022-08-02,13.234375
2022-08-03,-9999.0
2022-08-04,16.453125
2022-08-05,17.078125
2022-08-06,18.015625
2022-08-07,16.765625
2022-08-08,-9999.0
2022-08-09,-9999.0
2022-08-10,11.53125
2022-08-11,12.9609375
2022-08-12,-9999.0
2022-08-13,8.5
2022-08-14,9.65625
2022-08-15,11.21875
2022-08-16,11.28125
2022-08-17,-9999.0
2022-08-18,12.140625
2022-08-19,-9999.0
2022-08-20,13.078125
2022-08-21,13.1953125
2022-08-22,-9999.0
2022-08-23,-9999.0
2022-08-24,11.59375
2022-08-25,13.8828125
2022-08-26,-9999.0
2022-08-27,9.578125
2022-08-28,14.4765625
2022-08-29,16.96875
2022-08-30,-9999.0
2022-08-31,-9999.0
2022-09-01,8.734375
2022-09-02,12.296875
2022-09-03,13.15625
2022-09-04,11.6484375
2022-09-05,-9999.0
2022-09-06,13.296875
2022-09-07,11.1796875
2022-09-08,12.84375
2022-09-09,10.78125
2022-09-10,11.453125
2022-09-11,-9999.0
2022-09-12,-9999.0
2022-09-13,-9999.0
2022-09-14,11.96875
2022-09-15,6.9609375
2022-09-16,-9999.0
2022-09-17,12.3046875
2022-09-18,-9999.0
2022-09-19,-9999.0
2022-09-20,-9999.0
2022-09-21,-9999.0
2022-09-22,-9999.0
2022-09-23,5.79296875
2022-09-24,8.546875
2022-09-25,-9999.0
2022-09-26,-9999.0
2022-09-27,-9999.0
2022-09-28,7.88671875
2022-09-29,6.03515625
2022-09-30,9.0234375
2022-10-01,7.7421875
2022-10-02,7.015625
2022-10-03,6.21875
2022-10-04,-9999.0
2022-10-05,10.03125
2022-10-06,-9999.0
2022-10-07,-9999.0
2022-10-08,-9999.0
2022-10-09,5.65625
2022-10-10,5.87109375
2022-10-11,7.66796875
2022-10-12,-9999.0
2022-10-13,-9999.0
2022-10-14,6.55859375
2022-10-15,-9999.0
2022-10-16,6.30078125
2022-10-17,-9999.0
2022-10-18,-9999.0
2022-10-19,-9999.0
2022-10-20,-9999.0
2022-10-21,7.41015625
2022-10-22,-9999.0
2022-10-23,7.17578125
2022-10-24,11.1640625
2022-10-25,-9999.0
2022-10-26,-9999.0
2022-10-27,5.27734375
2022-10-28,4.68359375
2022-10-29,7.13671875
2022-10-30,-9999.0
2022-10-31,9.625
2022-11-01,-9999.0
2022-11-02,6.625
2022-11-03,-9999.0
2022-11-04,8.7890625
2022-11-05,-9999.0
2022-11-06,9.984375
2022-11-07,-9999.0
2022-11-08,4.81640625
2022-11-09,6.3828125
2022-11-10,-9999.0
2022-11-11,-9999.0
2022-11-12,-9999.0
2022-11-13,-9999.0
2022-11-14,3.30078125
2022-11-15,-9999.0
2022-11-16,-9999.0
2022-11-17,-9999.0
2022-11-18,3.74023438
2022-11-19,2.70117188
2022-11-20,1.43945312
2022-11-21,3.25976562
2022-11-22,3.09960938
2022-11-23,-9999.0
2022-11-24,5.32421875
2022-11-25,5.60546875
2022-11-26,-9999.0
2022-11-27,-9999.0
2022-11-28,-9999.0
2022-11-29,-9999.0
2022-11-30,-9999.0
2022-12-01,-9999.0
2022-12-02,3.98242188
2022-12-03,-9999.0
2022-12-04,3.05273438
2022-12-05,-9999.0
2022-12-06,-9999.0
2022-12-07,-9999.0
2022-12-08,-9999.0
2022-12-09,3.64453125
2022-12-10,-9999.0
2022-12-11,-9999.0
2022-12-12,3.34960938
2022-12-13,3.640625
2022-12-14,4.6015625
2022-12-15,-9999.0
2022-12-16,-9999.0
2022-12-17,-9999.0
2022-12-18,-9999.0
2022-12-19,-9999.0
2022-12-20,2.75976562
2022-12-21,-9999.0
2022-12-22,-9999.0
2022-12-23,-9999.0
2022-12-24,-9999.0
2022-12-25,-9999.0
2022-12-26,-9999.0
2022-12-27,2.23046875
2022-12-28,-9999.0
2022-12-29,6.87109375
2022-12-30,8.2578125
2022-12-31,-9999.0
2023-01-01,-9999.0
2023-01-02,-9999.0
2023-01-03,-9999.0
2023-01-04,-9999.0
2023-01-05,3.98242188
2023-01-06,-9999.0
2023-01-07,3.1171875
2023-01-08,-9999.0
