time, AIRS3STD_7_0_SurfAirTemp_A
2022-09-01,16.6000004
2022-09-02,21.9750004
2022-09-03,23.7875004
2022-09-04,20.0375004
2022-09-05,-9999.0
2022-09-06,20.9125004
2022-09-07,17.6000004
2022-09-08,20.7250004
2022-09-09,22.7875004
2022-09-10,21.8500004
2022-09-11,-9999.0
2022-09-12,18.6625004
2022-09-13,19.1000004
2022-09-14,19.2250004
2022-09-15,17.4125004
2022-09-16,-9999.0
2022-09-17,21.8500004
2022-09-18,-9999.0
2022-09-19,-9999.0
2022-09-20,14.9125004
2022-09-21,22.9750004
2022-09-22,-9999.0
2022-09-23,12.6625004
2022-09-24,15.6625004
2022-09-25,-9999.0
2022-09-26,15.1000004
2022-09-27,13.7875004
2022-09-28,12.7250004
2022-09-29,14.7250004
2022-09-30,18.1000004
2022-10-01,18.6000004
2022-10-02,14.4125004
2022-10-03,15.2250004
2022-10-04,-9999.0
2022-10-05,18.4125004
2022-10-06,-9999.0
2022-10-07,-9999.0
2022-10-08,11.1625004
2022-10-09,11.4750004
2022-10-10,11.5375004
2022-10-11,15.7250004
2022-10-12,-9999.0
2022-10-13,-9999.0
2022-10-14,12.7250004
2022-10-15,15.3500004
2022-10-16,12.6000004
2022-10-17,-9999.0
2022-10-18,-9999.0
2022-10-19,7.7249999
2022-10-20,-9999.0
2022-10-21,13.9750004
2022-10-22,17.9125004
2022-10-23,15.1625004
2022-10-24,17.3500004
2022-10-25,16.1625004
2022-10-26,15.2250004
2022-10-27,10.4750004
2022-10-28,12.3500004
2022-10-29,13.6625004
2022-10-30,-9999.0
2022-10-31,15.1000004
2022-11-01,-9999.0
2022-11-02,14.5375004
2022-11-03,-9999.0
2022-11-04,17.3500004
2022-11-05,-9999.0
2022-11-06,17.0375004
2022-11-07,-9999.0
2022-11-08,9.47500038
2022-11-09,13.3500004
2022-11-10,-9999.0
2022-11-11,-9999.0
2022-11-12,-9999.0
2022-11-13,2.1624999
2022-11-14,4.9749999
2022-11-15,-9999.0
2022-11-16,4.3499999
2022-11-17,-2.5875001
2022-11-18,0.0375000015
2022-11-19,-0.462500006
2022-11-20,-4.6500001
2022-11-21,4.5374999
2022-11-22,4.8499999
2022-11-23,1.10000002
2022-11-24,7.9749999
2022-11-25,2.1624999
2022-11-26,-9999.0
2022-11-27,-9999.0
2022-11-28,-9999.0
2022-11-29,-9999.0
2022-11-30,-9999.0
2022-12-01,-9999.0
2022-12-02,5.2249999
2022-12-03,-9999.0
2022-12-04,-0.587499976
2022-12-05,-9999.0
2022-12-06,6.9749999
2022-12-07,-9999.0
2022-12-08,2.4749999
2022-12-09,3.5374999
2022-12-10,-9999.0
2022-12-11,2.5374999
2022-12-12,1.91250002
2022-12-13,1.78750002
2022-12-14,1.85000002
