time,mean_precipitation_rate,sur_air_temp,relative_humidity,albedo_500,H2O_vapor_mass_ratio,H2O_vapor_mass_ratio_surf,cloud_temp,surf_temp
2020-08-10,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-9999.0,-9999.0
2020-08-11,1.99999988,25.2875004,85.0,-1.267651e+30,16.9375,16.234375,-11.8374996,26.5375004
2020-08-12,0.0,23.6625004,70.5,0.944400012,12.1171875,11.6640625,-44.4312515,28.1000004
2020-08-13,0.0,24.9125004,70.0,0.950999975,14.015625,13.2265625,-1.46249998,28.9750004
2020-08-14,0.0,24.6000004,65.5,0.935100019,12.765625,12.28125,11.3500004,28.4125004
2020-08-15,0.0899999961,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-6.2750001,28.7875004
2020-08-16,0.0699999928,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-9999.0,-9999.0
2020-08-17,0.0749999955,,,0.963199973,,,,
2020-08-18,1.81499982,,,-1.267651e+30,,,,
2020-08-19,0.0,,,0.908699989,,,,
2020-08-20,0.0,,,0.907800019,,,,
2020-08-21,0.0,,,-1.267651e+30,,,,
2020-08-22,0.0,,,0.91900003,,,,
2020-08-23,0.0,,,-1.267651e+30,,,,
2020-08-24,0.0,,,-1.267651e+30,,,,
2020-08-25,26.4849987,,,-1.267651e+30,,,,
2020-08-26,0.0,,,0.925499976,,,,
2020-08-27,22.8099995,,,-1.267651e+30,,,,
2020-08-28,0.170000002,,,-1.267651e+30,,,,
2020-08-29,8.81499958,,,-1.267651e+30,,,,
2020-08-30,0.0,,,-1.267651e+30,,,,
2020-08-31,0.0,,,0.925599992,,,,
2020-09-01,0.0,,,-1.267651e+30,,,,
2020-09-02,4.63499928,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-9999.0,-9999.0
2020-09-03,0.359999985,20.2250004,-9999.0,-1.267651e+30,-9999.0,11.59375,-39.8375015,23.9750004
