time, OMAERUVd_003_FinalAerosolSingleScattAlb500
2022-02-07,-1.267651e+30
2022-02-08,-1.267651e+30
2022-02-09,-1.267651e+30
2022-02-10,-1.267651e+30
2022-02-11,-1.267651e+30
2022-02-12,-1.267651e+30
2022-02-13,-1.267651e+30
2022-02-14,-1.267651e+30
2022-02-15,0.941999972
2022-02-16,-1.267651e+30
2022-02-17,-1.267651e+30
2022-02-18,-1.267651e+30
2022-02-19,-1.267651e+30
2022-02-20,-1.267651e+30
2022-02-21,-1.267651e+30
2022-02-22,-1.267651e+30
2022-02-23,-1.267651e+30
2022-02-24,0.921400011
2022-02-25,-1.267651e+30
2022-02-26,-1.267651e+30
2022-02-27,-1.267651e+30
2022-02-28,-1.267651e+30
2022-03-01,-1.267651e+30
2022-03-02,-1.267651e+30
2022-03-03,0.968999982
2022-03-04,-1.267651e+30
2022-03-05,-1.267651e+30
2022-03-06,-1.267651e+30
2022-03-07,-1.267651e+30
2022-03-08,-1.267651e+30
2022-03-09,-1.267651e+30
2022-03-10,-1.267651e+30
2022-03-11,-1.267651e+30
2022-03-12,-1.267651e+30
2022-03-13,-1.267651e+30
2022-03-14,-1.267651e+30
2022-03-15,-1.267651e+30
2022-03-16,0.932900012
2022-03-17,-1.267651e+30
2022-03-18,-1.267651e+30
2022-03-19,-1.267651e+30
2022-03-20,-1.267651e+30
2022-03-21,0.932600021
2022-03-22,-1.267651e+30
2022-03-23,-1.267651e+30
2022-03-24,-1.267651e+30
2022-03-25,-1.267651e+30
2022-03-26,-1.267651e+30
2022-03-27,-1.267651e+30
2022-03-28,-1.267651e+30
2022-03-29,-1.267651e+30
2022-03-30,-1.267651e+30
2022-03-31,-1.267651e+30
2022-04-01,-1.267651e+30
2022-04-02,-1.267651e+30
2022-04-03,-1.267651e+30
2022-04-04,-1.267651e+30
2022-04-05,-1.267651e+30
2022-04-06,-1.267651e+30
2022-04-07,-1.267651e+30
2022-04-08,-1.267651e+30
2022-04-09,-1.267651e+30
2022-04-10,-1.267651e+30
2022-04-11,0.886399984
2022-04-12,0.893700004
2022-04-13,-1.267651e+30
2022-04-14,-1.267651e+30
2022-04-15,0.953499973
2022-04-16,-1.267651e+30
2022-04-17,0.936699986
2022-04-18,-1.267651e+30
2022-04-19,-1.267651e+30
2022-04-20,0.904500008
2022-04-21,-1.267651e+30
2022-04-22,0.949199975
2022-04-23,-1.267651e+30
2022-04-24,0.956499994
2022-04-25,-1.267651e+30
2022-04-26,-1.267651e+30
2022-04-27,-1.267651e+30
2022-04-28,0.919200003
2022-04-29,0.91839999
2022-04-30,0.863499999
2022-05-01,-1.267651e+30
2022-05-02,-1.267651e+30
2022-05-03,-1.267651e+30
2022-05-04,-1.267651e+30
2022-05-05,-1.267651e+30
2022-05-06,-1.267651e+30
2022-05-07,0.901899993
2022-05-08,0.885100007
2022-05-09,-1.267651e+30
2022-05-10,0.93720001
2022-05-11,-1.267651e+30
2022-05-12,0.884800017
2022-05-13,0.9023
2022-05-14,0.899399996
2022-05-15,0.953499973
2022-05-16,-1.267651e+30
2022-05-17,-1.267651e+30
2022-05-18,-1.267651e+30
2022-05-19,-1.267651e+30
2022-05-20,-1.267651e+30
2022-05-21,-1.267651e+30
2022-05-22,-1.267651e+30
2022-05-23,-1.267651e+30
2022-05-24,0.922399998
2022-05-25,-1.267651e+30
2022-05-26,-1.267651e+30
2022-05-27,-1.267651e+30
2022-05-28,0.956799984
2022-05-29,0.953000009
2022-05-30,0.908599973
2022-05-31,0.934800029
2022-06-01,-1.267651e+30
2022-06-02,-1.267651e+30
2022-06-03,-1.267651e+30
2022-06-04,0.915899992
2022-06-05,-1.267651e+30
2022-06-06,-1.267651e+30
2022-06-07,-1.267651e+30
2022-06-08,-1.267651e+30
2022-06-09,-1.267651e+30
2022-06-10,-1.267651e+30
2022-06-11,0.948300004
2022-06-12,-1.267651e+30
2022-06-13,0.928499997
2022-06-14,-1.267651e+30
2022-06-15,-1.267651e+30
2022-06-16,0.932299972
2022-06-17,-1.267651e+30
2022-06-18,0.947899997
2022-06-19,-1.267651e+30
2022-06-20,0.929499984
2022-06-21,-1.267651e+30
2022-06-22,-1.267651e+30
