time, AIRS3STD_7_0_SurfSkinTemp_A
2021-12-20,0.975000024
2021-12-21,4.1624999
2021-12-22,2.3499999
2021-12-23,-1.71249998
2021-12-24,-1.27499998
2021-12-25,-2.9000001
2021-12-26,-9999.0
2021-12-27,-9999.0
2021-12-28,-3.7125001
2021-12-29,-4.3375001
2021-12-30,0.349999994
2021-12-31,2.0999999
2022-01-01,-9999.0
2022-01-02,-6.0875001
2022-01-03,-0.899999976
2022-01-04,-9999.0
2022-01-05,-9.39999962
2022-01-06,-9999.0
2022-01-07,-4.9625001
2022-01-08,-3.3375001
2022-01-09,-9.96249962
2022-01-10,-4.4000001
2022-01-11,-10.8374996
2022-01-12,-7.6500001
2022-01-13,-9999.0
2022-01-14,-1.02499998
2022-01-15,-10.5874996
2022-01-16,-1.52499998
2022-01-17,-9.52499962
2022-01-18,-3.0250001
2022-01-19,-9999.0
2022-01-20,-9999.0
2022-01-21,-7.7750001
2022-01-22,-6.9625001
2022-01-23,-16.1499996
2022-01-24,-12.2749996
2022-01-25,-0.962499976
2022-01-26,-5.6500001
2022-01-27,-5.0250001
2022-01-28,-4.5875001
2022-01-29,-10.3999996
2022-01-30,-5.7750001
2022-01-31,-0.712499976
2022-02-01,-1.14999998
2022-02-02,-3.5250001
2022-02-03,-9999.0
2022-02-04,-8.96249962
2022-02-05,-9999.0
2022-02-06,-1.33749998
2022-02-07,-4.1500001
2022-02-08,-7.8375001
2022-02-09,-9999.0
2022-02-10,-1.02499998
2022-02-11,-0.962499976
2022-02-12,-0.212500006
2022-02-13,-6.4000001
2022-02-14,-8.02499962
2022-02-15,-1.08749998
2022-02-16,2.2874999
2022-02-17,-9999.0
2022-02-18,-6.5250001
2022-02-19,-1.33749998
2022-02-20,0.600000024
2022-02-21,-9999.0
2022-02-22,-9999.0
2022-02-23,-9999.0
2022-02-24,-1.08749998
2022-02-25,-10.7124996
2022-02-26,-1.39999998
2022-02-27,-6.0250001
2022-02-28,-8.27499962
2022-03-01,-15.8374996
2022-03-02,0.975000024
2022-03-03,-0.150000006
2022-03-04,-1.64999998
2022-03-05,-9999.0
2022-03-06,10.0375004
2022-03-07,-9999.0
2022-03-08,2.9124999
2022-03-09,-9999.0
2022-03-10,3.0999999
2022-03-11,-1.64999998
2022-03-12,-9999.0
2022-03-13,-4.4000001
2022-03-14,9.78750038
2022-03-15,-9999.0
2022-03-16,8.85000038
2022-03-17,13.7875004
2022-03-18,16.1000004
2022-03-19,15.3500004
2022-03-20,-10.3374996
2022-03-21,9.10000038
2022-03-22,9.47500038
2022-03-23,-9999.0
2022-03-24,14.1000004
2022-03-25,-9999.0
2022-03-26,4.3499999
2022-03-27,-5.1500001
2022-03-28,-9.52499962
2022-03-29,1.78750002
2022-03-30,-9999.0
2022-03-31,-9999.0
2022-04-13,-9999.0
2022-04-14,-9999.0
2022-04-15,13.6000004
2022-04-16,2.5374999
2022-04-17,-9999.0
2022-04-18,1.53750002
2022-04-19,-9999.0
2022-04-20,12.6625004
2022-04-21,-9999.0
2022-04-22,12.1625004
2022-04-23,-9999.0
2022-04-24,22.6000004
2022-04-25,27.1625004
2022-04-26,-9999.0
2022-04-27,6.7249999
2022-04-28,11.1000004
2022-04-29,13.9125004
2022-04-30,16.2250004
2022-05-01,20.4750004
2022-05-02,-9999.0
2022-05-03,-9999.0
2022-05-04,19.8500004
2022-05-05,23.6000004
2022-05-06,-9999.0
2022-05-07,22.6000004
2022-05-08,18.8500004
2022-05-09,21.7875004
2022-05-10,24.2875004
2022-05-11,24.2250004
2022-05-12,25.7875004
2022-05-13,25.3500004
2022-05-14,30.6000004
2022-05-15,22.2875004
2022-05-16,-9999.0
2022-05-17,15.4125004
2022-05-18,17.0375004
2022-05-19,-9999.0
2022-05-20,20.3500004
2022-05-21,30.4125004
2022-05-22,-9999.0
2022-05-23,15.0375004
2022-05-24,17.1000004
2022-05-25,17.6000004
2022-05-26,-9999.0
2022-05-27,16.9125004
2022-05-28,23.4750004
2022-05-29,21.5375004
2022-05-30,25.4750004
2022-05-31,29.7250004
2022-06-01,-9999.0
2022-06-02,16.6625004
2022-06-03,22.1000004
2022-06-04,20.4125004
2022-06-05,25.1000004
2022-06-06,17.6625004
2022-06-07,-9999.0
2022-06-08,18.3500004
2022-06-09,-9999.0
2022-06-10,20.2875004
2022-06-11,23.8500004
2022-06-12,-9999.0
2022-06-13,20.4750004
2022-06-14,23.6625004
2022-06-15,25.9125004
2022-06-16,27.7250004
2022-06-17,22.4750004
2022-06-18,-9999.0
2022-06-19,21.1000004
2022-06-20,16.6000004
2022-06-21,25.0375004
2022-06-22,24.8500004
2022-06-23,24.9750004
2022-06-24,26.7250004
2022-06-25,27.5375004
2022-06-26,34.7249985
2022-06-27,25.1000004
2022-06-28,23.2250004
2022-06-29,-9999.0
2022-06-30,26.6625004
2022-07-01,36.1624985
2022-07-02,24.4750004
2022-07-03,25.2250004
2022-07-04,-9999.0
2022-07-05,-9999.0
2022-07-06,22.5375004
2022-07-07,27.0375004
2022-07-08,29.1625004
2022-07-09,23.9750004
2022-07-10,26.9750004
2022-07-11,26.5375004
2022-07-12,25.7875004
2022-07-13,26.7250004
2022-07-14,25.2875004
2022-07-15,27.4125004
2022-07-16,28.2250004
2022-07-17,36.0999985
2022-07-18,12.0375004
2022-07-19,28.1625004
2022-07-20,28.7250004
2022-07-21,27.1625004
2022-07-22,29.2875004
2022-07-23,30.0375004
2022-07-24,28.3500004
2022-07-25,24.6625004
2022-07-26,25.1000004
2022-07-27,-9999.0
2022-07-28,21.5375004
2022-07-29,25.6000004
2022-07-30,22.7875004
2022-07-31,26.1000004
2022-08-01,27.7250004
2022-08-02,25.8500004
2022-08-03,26.6000004
2022-08-04,27.2875004
2022-08-05,28.2875004
2022-08-06,29.4750004
2022-08-07,28.9125004
2022-08-08,28.2875004
2022-08-09,11.6000004
2022-08-10,25.2250004
2022-08-11,26.2875004
2022-08-12,25.7250004
2022-08-13,25.7250004
2022-08-14,27.4750004
2022-08-15,26.6625004
2022-08-16,26.2250004
2022-08-17,24.9125004
2022-08-18,26.6000004
2022-08-19,-9999.0
2022-08-20,29.1000004
2022-08-21,26.4125004
2022-08-22,23.8500004
2022-08-23,17.7875004
2022-08-24,26.3500004
2022-08-25,26.6625004
2022-08-26,23.1625004
2022-08-27,24.9125004
2022-08-28,28.2250004
2022-08-29,29.9125004
2022-08-30,-9999.0
2022-08-31,22.6625004
2022-09-01,22.6625004
2022-09-02,25.7875004
2022-09-03,25.5375004
